uniprot_id	gene_name	is_paralog	n_pathways	shannon_H	shannon_H_norm	global_degree	mean_local_degree	max_local_degree	mean_ratio	bridge_score	betweenness	cross_ppi_count	betweenness_raw
P05106	ITGB3	False	50	3.425433	0.875617	56	10.64	41	0.19	1124	1e-05	9	1367.349581610938
P00519	ABL1	False	52	3.424941	0.866801	222	23.1538	108	0.104297	1213	0.0001	45	16311.95000564123
Q9Y6G9	DYNC1LI1	False	46	3.424657	0.894484	238	32.1739	81	0.135185	935	7e-05	69	11611.381680425366
P49959	MRE11	False	48	3.423151	0.884261	297	29.8125	109	0.100379	1002	0.00014	105	22373.9930551644
P20226	TBP	False	42	3.420208	0.915064	630	57.381	236	0.091081	752	0.00072	279	117733.99913942826
Q15172	PPP2R5A	False	59	3.417658	0.838167	79	12.0339	29	0.152328	1562	7e-05	30	11925.13496650739
Q14839	CHD4	False	45	3.417572	0.897787	940	66.3333	313	0.070567	889	0.001	421	162601.5302378842
Q14974	KPNB1	False	52	3.416765	0.864732	542	36.4423	183	0.067237	1177	0.00032	249	52149.03792209736
P98160	HSPG2	False	49	3.41455	0.877366	76	4.2449	25	0.055854	1065	5e-05	37	7908.397005777862
P40145	ADCY8	False	51	3.411688	0.867711	14	0.1569	4	0.011205	1092	0.0	8	93.72840210188379
P49005	POLD2	False	41	3.410972	0.918515	70	10.2927	20	0.147038	697	4e-05	43	6131.542173267928
Q15054	POLD3	False	41	3.410972	0.918515	96	12.7317	26	0.132622	697	3e-05	65	5187.732038464063
Q9HCU8	POLD4	False	41	3.410972	0.918515	10	5.4878	9	0.54878	697	0.0	1	5.407599560608707
P10644	PRKAR1A	False	52	3.409823	0.862975	305	17.0	94	0.055738	1162	0.00019	125	31499.885197250318
P02679	FGG	False	50	3.408715	0.871343	97	7.64	25	0.078763	1111	0.00011	46	18156.37029828916
P11487	FGF3	False	43	3.407954	0.906081	61	1.8605	7	0.030499	756	0.0	52	253.5380634432371
Q9HCT0	FGF22	False	43	3.407954	0.906081	1	0.0	0	0.0	756	0.0	1	0.0
P51812	RPS6KA3	False	48	3.406303	0.879908	199	17.5	90	0.08794	936	0.00011	74	18080.07753947085
Q15349	RPS6KA2	False	48	3.406303	0.879908	179	12.8958	64	0.072044	936	6e-05	86	9377.881149010118
P67870	CSNK2B	False	68	3.401825	0.806214	607	37.4265	155	0.061658	2123	0.00068	233	111355.28861459372
Q15369	ELOC	False	50	3.399876	0.869084	253	21.14	95	0.083557	1070	0.00024	88	38525.692016694484
Q15370	ELOB	False	50	3.399876	0.869084	334	28.28	129	0.084671	1070	0.00034	111	54848.37113655037
P13861	PRKAR2A	False	52	3.399841	0.860448	215	13.4808	73	0.062701	1165	0.00011	87	17697.914686152493
Q15022	SUZ12	False	48	3.398839	0.87798	633	59.1042	197	0.093371	1023	0.00052	227	84321.44428631384
O43306	ADCY6	False	49	3.395533	0.87248	59	1.7755	12	0.030093	1003	2e-05	25	2945.195745570374
O95622	ADCY5	False	49	3.395533	0.87248	8	1.6939	5	0.211735	1003	0.0	2	25.10384976129509
O14576	DYNC1I1	False	44	3.39306	0.896641	105	16.5	38	0.157143	849	2e-05	33	2991.769369915114
O43237	DYNC1LI2	False	44	3.39306	0.896641	156	20.2727	61	0.129953	849	3e-05	51	5648.605193329358
P46776	RPL27A	False	44	3.392449	0.89648	468	83.2727	198	0.177933	855	0.00021	167	34086.18538407803
P62917	RPL8	False	44	3.392449	0.89648	540	86.0455	177	0.159343	855	0.00024	230	38370.747445033056
Q12933	TRAF2	False	52	3.390844	0.858171	1318	66.6538	376	0.050572	1149	0.00342	543	556761.9870515317
