metric	class_a	class_b	n_a	n_b	median_a	median_b	U_stat	pval	rank_biserial	padj_bh
ratio_g2	predicted	other	7898	451	0.0941	0.1078	1504049.0	2.6520210644352312e-08	-0.1555	6.188049150348874e-08
mean_global_degree	expression	complex	3430	1136	158.0	146.5	2156828.0	6.073860862410104e-08	0.1071	1.3864247620718716e-07
mean_betweenness	catalyze	other	532	456	0.0001	0.0	144867.5	1.2457957096024382e-07	0.1943	2.783160627835234e-07
mean_betweenness	activate	predicted	815	8010	0.0001	0.0001	2915451.5	4.846332722723686e-07	-0.1068	1.0601352830958064e-06
mean_local_degree	activate	catalyze	815	532	13.757	11.668	250062.5	1.8652931169046506e-06	0.1535	3.997056679081394e-06
mean_betweenness	catalyze	expression	532	3430	0.0001	0.0001	796837.0	2.489341350072498e-06	-0.1266	5.227616835152246e-06
ratio_g2	activate	predicted	805	7898	0.088	0.0941	2870079.0	5.4080228145010536e-06	-0.0972	1.1134164618090405e-05
mean_betweenness	inhibit	predicted	230	8010	0.0001	0.0001	776337.5	4.6573995924616176e-05	-0.1572	9.404364561701343e-05
mean_local_degree	inhibit	expression	230	3430	13.414	16.6025	331409.0	4.834385480171033e-05	-0.1598	9.577556139961481e-05
ratio_g2	inhibit	activate	224	805	0.1028	0.088	105924.5	6.148335318960756e-05	0.1749	0.00011955096453534804
ratio_g1	expression	complex	3406	1082	0.0842	0.0866	1990683.5	6.684642500869897e-05	0.0803	0.0001276159022893344
mean_betweenness	activate	complex	815	1136	0.0001	0.0001	510884.0	9.23764358964993e-05	0.1036	0.00017320581730593618
mean_global_degree	activate	complex	815	1136	160.5	146.5	510447.5	0.00010759614199105691	0.1027	0.0001982034194572101
ratio_g1	activate	predicted	799	7896	0.0885	0.0975	2897807.0	0.00014724414800958193	-0.0814	0.0002665626817414845
mean_local_degree	activate	complex	815	1136	13.757	11.917	505151.5	0.000579067744261876	0.0912	0.001030544290635542
ratio_g1	expression	predicted	3406	7896	0.0842	0.0975	12909920.0	0.0007413783286396972	-0.0399	0.00129741207511947
mean_betweenness	catalyze	complex	532	1136	0.0001	0.0001	271662.0	0.000867141424619446	-0.101	0.0014926204850006857
mean_betweenness	activate	expression	815	3430	0.0001	0.0001	1501402.0	0.0009742052745928683	0.0742	0.001649863771487922
mean_global_degree	catalyze	complex	532	1136	127.25	146.5	272944.5	0.0014310093635567461	-0.0967	0.00238501560592791
ratio_g2	inhibit	complex	224	1130	0.1028	0.094	142877.0	0.0022699777279411213	0.1289	0.003724182209903402
mean_betweenness	inhibit	catalyze	230	532	0.0001	0.0001	69620.5	0.0024451860827878914	0.138	0.0039499159798881325
mean_local_degree	inhibit	catalyze	230	532	13.414	11.668	69371.0	0.003320098603977289	0.1339	0.00528197505178205
ratio_g1	predicted	other	7896	414	0.0975	0.0897	1769216.0	0.004627867544990708	0.0824	0.007252628242149618
ratio_g2	complex	predicted	1130	7898	0.094	0.0941	4232850.5	0.005095897696884667	-0.0514	0.007868665561366029
ratio_g2	inhibit	catalyze	224	525	0.1028	0.0913	66198.5	0.006346752058240582	0.1258	0.00965810095819219
mean_global_degree	inhibit	expression	230	3430	132.0	158.0	353823.5	0.008826741945859374	-0.103	0.013240112918789062
ratio_g1	inhibit	complex	220	1082	0.096	0.0866	131934.0	0.011078120508578837	0.1085	0.01638313596339124
mean_global_degree	inhibit	activate	230	815	132.0	160.5	84182.0	0.018239236744841483	-0.1018	0.026598886919560496
mean_local_degree	catalyze	complex	532	1136	11.668	11.917	281323.5	0.02294235930618352	-0.069	0.032999283933551636
mean_global_degree	inhibit	catalyze	230	532	132.0	127.25	67483.0	0.023848773637696555	0.103	0.033839476107542406
ratio_g2	catalyze	predicted	525	7898	0.0913	0.0941	1956705.0	0.03079382986009298	-0.0562	0.04311136180413017
ratio_g2	inhibit	expression	224	3407	0.1028	0.1136	349061.0	0.03235417904992477	-0.0852	0.04469985263476448
ratio_g2	inhibit	other	224	451	0.1028	0.1078	45872.0	0.05145573225503341	-0.0919	0.07016690762050011
ratio_g2	inhibit	predicted	224	7898	0.1028	0.0941	948433.5	0.06499557610262195	0.0722	0.08749404475352955
ratio_g1	catalyze	complex	529	1082	0.0899	0.0866	301813.0	0.07474359553618938	0.0546	0.09855929142357742
ratio_g2	activate	complex	805	1130	0.088	0.094	433264.0	0.07509279346558279	-0.0474	0.09855929142357742
ratio_g1	inhibit	activate	220	799	0.096	0.0885	94483.0	0.0880910917712692	0.075	0.1141921559997934
ratio_g1	inhibit	other	220	414	0.096	0.0897	48956.0	0.11975019382407573	0.075	0.1533386628235116
ratio_g1	activate	expression	799	3406	0.0885	0.0842	1313279.0	0.1246847686465125	-0.0348	0.15773374346847968
mean_local_degree	inhibit	complex	230	1136	13.414	11.917	138837.0	0.13299713174444056	0.0627	0.16624641468055068
ratio_g1	catalyze	predicted	529	7896	0.0899	0.0975	2009730.0	0.1458512167315964	-0.0377	0.1801691500802073
ratio_g1	expression	other	3406	414	0.0842	0.0897	733586.5	0.17792228922812015	0.0405	0.2172307019645653
ratio_g1	activate	complex	799	1082	0.0885	0.0866	447803.0	0.18189956420993458	0.036	0.21953395680509344
mean_betweenness	inhibit	activate	230	815	0.0001	0.0001	88585.0	0.2034186010609932	-0.0548	0.24271537626595777
ratio_g2	activate	catalyze	805	525	0.088	0.0913	204040.5	0.2881732894365555	-0.0344	0.3399797234925655
mean_betweenness	expression	complex	3430	1136	0.0001	0.0001	1988673.5	0.2935248963274498	0.0208	0.3424457123820248
mean_betweenness	inhibit	complex	230	1136	0.0001	0.0001	135982.0	0.32732277620644024	0.0409	0.3776801263920464
ratio_g1	catalyze	other	529	414	0.0899	0.0897	113117.0	0.38384664792432344	0.033	0.4380858481744996
ratio_g1	activate	catalyze	799	529	0.0885	0.0899	205461.5	0.3905804960556224	-0.0278	0.4409779794176382
ratio_g1	complex	other	1082	414	0.0866	0.0897	218782.5	0.48739533876286734	-0.0232	0.5444309635117135
mean_local_degree	inhibit	activate	230	815	13.414	13.757	91343.0	0.5557544527643792	-0.0254	0.6142549214764191
ratio_g1	inhibit	predicted	220	7896	0.096	0.0975	850021.0	0.5886291775113374	-0.0213	0.6438131629030253
ratio_g1	inhibit	expression	220	3406	0.096	0.0842	381015.0	0.6728210514994691	0.017	0.7283114474994253
ratio_g1	inhibit	catalyze	220	529	0.096	0.0899	59245.0	0.6956822891942498	0.0181	0.7453738812795533
ratio_g2	expression	other	3407	451	0.1136	0.1078	761207.5	0.7504147704751924	-0.0092	0.795894453534295
ratio_g1	activate	other	799	414	0.0885	0.0897	166513.5	0.8464792927825533	0.0068	0.8845220971133602
ratio_g1	catalyze	expression	529	3406	0.0899	0.0842	896315.0	0.8508260172233274	-0.0051	0.8845220971133602
mean_global_degree	inhibit	complex	230	1136	132.0	146.5	131421.5	0.8861680346824432	0.006	0.8946888811697744
mean_global_degree	activate	expression	815	3430	160.5	158.0	1393116.5	0.8835133065895215	-0.0033	0.8946888811697744
mean_betweenness	inhibit	expression	230	3430	0.0001	0.0001	396796.5	0.8797466992424037	0.0059	0.8946888811697744
ratio_g2	catalyze	complex	525	1130	0.0913	0.094	296394.0	0.9796706001515308	-0.0008	0.9796706001515308
