uniprot_id	gene_name	is_paralog	n_pathways	shannon_H	shannon_H_norm	global_degree	mean_local_degree	max_local_degree	mean_ratio	bridge_score	betweenness	cross_ppi_count	betweenness_raw	cluster	taxonomy	umap_x	umap_y
P23527	H2BC17	False	141	4.659577	0.941565	152	28.234	57	0.18575	9538	5e-05	54	7669.215007930859	1	pathway_bridge	14.9852	2.8377
P33778	H2BC3	False	141	4.659577	0.941565	417	43.7092	145	0.104818	9538	0.00015	107	24304.535970170822	1	pathway_bridge	14.9118	3.9148
P62807	H2BC4	False	141	4.659577	0.941565	771	45.4113	168	0.058899	9538	0.00041	296	67092.83897928942	2	structural_hub	12.3217	10.239
Q93079	H2BC9	False	141	4.659577	0.941565	445	33.5745	109	0.075448	9538	0.0011	199	179960.41064442316	2	structural_hub	10.9399	13.9648
Q96A08	H2BC1	False	141	4.659577	0.941565	180	24.7376	56	0.137431	9538	3e-05	55	4251.597310647774	1	pathway_bridge	14.8715	2.7064
Q99879	H2BC14	False	141	4.659577	0.941565	111	20.9787	44	0.188997	9538	5e-05	38	8377.319367812586	1	pathway_bridge	14.9718	2.7904
Q99880	H2BC13	False	141	4.659577	0.941565	215	30.9007	83	0.143724	9538	8e-05	74	12541.122326562952	1	pathway_bridge	15.0861	3.0888
Q16778	H2BC21	False	139	4.640672	0.940459	688	52.3165	201	0.076041	9264	0.0012	238	195508.85119492482	2	structural_hub	10.909	14.0442
Q8N257	H2BC26	False	139	4.640672	0.940459	183	27.4964	56	0.150254	9264	3e-05	66	5351.985443522976	1	pathway_bridge	14.8889	2.7084
P12931	SRC	False	165	4.616879	0.904216	534	24.5576	218	0.045988	13066	0.0014	170	227755.44952958683	2	structural_hub	10.6296	14.6681
P28482	MAPK1	False	171	4.60884	0.896371	444	21.1345	166	0.0476	13914	0.00046	135	74774.31345991627	2	structural_hub	12.3262	10.3417
P27361	MAPK3	False	170	4.592761	0.894264	341	16.4353	122	0.048197	13758	0.00032	122	51942.928724102436	2	structural_hub	12.6663	8.093
P27986	PIK3R1	False	151	4.592417	0.91532	362	24.3046	188	0.06714	10919	0.00044	88	72442.80530065038	2	structural_hub	12.3187	10.3547
P16104	H2AX	False	128	4.583224	0.944599	569	41.8281	197	0.073512	7830	0.00047	159	76533.57194468217	2	structural_hub	12.3035	10.3613
P04908	H2AC4	False	131	4.577015	0.938837	593	45.5649	169	0.076838	8205	0.00038	206	61570.068262621775	2	structural_hub	12.336	10.1398
P20671	H2AC7	False	131	4.577015	0.938837	108	25.8702	51	0.239539	8205	1e-05	26	893.771191724716	1	pathway_bridge	14.8337	2.591
Q16777	H2AC20	False	131	4.577015	0.938837	312	32.4656	103	0.104057	8205	0.0002	105	32360.20420151634	2	structural_hub	13.1103	6.6627
Q6FI13	H2AC18	False	131	4.577015	0.938837	184	28.9771	68	0.157484	8205	4e-05	54	6250.093379063376	1	pathway_bridge	14.8342	2.6738
Q93077	H2AC6	False	131	4.577015	0.938837	104	24.9924	43	0.240311	8205	1e-05	28	887.0755554339116	1	pathway_bridge	14.8572	2.6608
Q99878	H2AC14	False	131	4.577015	0.938837	145	24.687	57	0.170255	8205	2e-05	42	2655.3112187794013	1	pathway_bridge	14.8825	2.6801
P01116	KRAS	False	138	4.572211	0.927943	1313	30.5072	374	0.023235	9077	0.00269	614	437940.42976134265	2	structural_hub	10.0172	15.9192
P57053	H2BC12L	False	126	4.567027	0.944326	144	27.0397	48	0.187776	7580	0.00013	61	20854.933340996908	1	pathway_bridge	14.8958	3.8223
P01112	HRAS	False	131	4.54184	0.931622	684	18.0534	208	0.026394	8148	0.00127	336	206478.44795886904	2	structural_hub	10.8711	14.1348
P01111	NRAS	False	130	4.527983	0.930242	685	15.7	186	0.02292	8023	0.00114	355	185079.3099106919	2	structural_hub	10.9307	13.9882
P0C5Y9	H2AB1	False	117	4.487655	0.942354	22	0.9744	6	0.044289	6513	0.0	10	283.9281639037986	1	pathway_bridge	14.0289	1.8337
Q71UI9	H2AZ2	False	113	4.463555	0.944191	174	17.5929	64	0.101109	6059	3e-05	64	4965.19942802577	1	pathway_bridge	14.6494	2.6346
Q9BTM1	H2AJ	False	113	4.463555	0.944191	128	21.4425	39	0.167519	6059	1e-05	66	1924.4619996792287	1	pathway_bridge	14.7689	2.6108
Q07889	SOS1	False	128	4.46226	0.919669	73	10.3203	43	0.141374	7776	1e-05	18	2165.2640635953276	1	pathway_bridge	14.649	2.462
Q09472	EP300	False	143	4.45256	0.897179	1417	58.6643	408	0.0414	9799	0.00307	406	501043.74017644	2	structural_hub	9.9385	16.0527
P42336	PIK3CA	False	132	4.446925	0.910732	154	11.947	69	0.077578	8313	0.00011	41	18319.14291441658	1	pathway_bridge	14.5989	3.7824
P68431	H3C1	False	116	4.415615	0.928901	1254	73.0603	323	0.058262	6406	0.00166	445	270754.7032973934	2	structural_hub	10.3954	15.1281
Q71DI3	H3C15	False	116	4.415615	0.928901	335	36.4397	112	0.108775	6406	0.00013	83	20525.162207961217	1	pathway_bridge	14.6355	3.9881
P30153	PPP2R1A	False	145	4.406759	0.885472	591	25.6966	180	0.04348	9929	0.00054	188	87865.99213999991	2	structural_hub	12.1738	10.6678
P63208	SKP1	False	119	4.404401	0.921592	489	37.5462	167	0.076782	6656	0.0007	126	114384.62354842287	2	structural_hub	11.7658	12.0482
Q13616	CUL1	False	114	4.371362	0.922968	852	44.5789	300	0.052323	6091	0.0015	247	243707.7144124796	2	structural_hub	10.61	14.7096
P84243	H3-3A	False	103	4.331158	0.934501	968	57.4272	263	0.059326	5023	0.0008	335	130534.59978528493	2	structural_hub	11.7155	12.2901
P67775	PPP2CA	False	134	4.318288	0.881672	444	23.7164	134	0.053415	8438	0.00063	152	103051.5259739814	2	structural_hub	11.8303	11.7266
P19388	POLR2E	False	99	4.282925	0.932059	282	27.6465	136	0.098037	4564	0.00012	65	18955.95788563962	1	pathway_bridge	14.5196	3.9398
P52434	POLR2H	False	99	4.282925	0.932059	224	23.1414	113	0.10331	4564	5e-05	50	8777.733168200162	1	pathway_bridge	14.5535	2.7359
P53803	POLR2K	False	99	4.282925	0.932059	148	21.6667	95	0.146396	4564	3e-05	30	4287.552420767659	1	pathway_bridge	14.6635	2.562
P61218	POLR2F	False	99	4.282925	0.932059	142	19.6768	91	0.138569	4564	3e-05	31	5319.401363790869	1	pathway_bridge	14.665	2.5565
P62875	POLR2L	False	99	4.282925	0.932059	166	17.3535	73	0.104539	4564	4e-05	56	6597.420034773067	1	pathway_bridge	14.5443	2.632
Q92793	CREBBP	False	123	4.280114	0.889433	531	33.6911	191	0.063448	7219	0.00082	117	133863.49767833392	2	structural_hub	11.7125	12.3342
P55735	SEC13	False	104	4.264257	0.918152	193	15.8365	61	0.082055	5052	9e-05	50	14438.595650684836	1	pathway_bridge	14.4625	3.5146
P62877	RBX1	False	108	4.260843	0.910022	555	35.7963	232	0.064498	5514	0.00052	137	85139.81028210961	2	structural_hub	12.2273	10.5884
P62714	PPP2CB	False	125	4.243919	0.878965	258	15.984	72	0.061954	7297	0.00013	113	20684.37066668535	1	pathway_bridge	14.5799	3.9976
Q06124	PTPN11	False	110	4.239594	0.901949	452	23.8182	144	0.052695	5680	0.00109	181	178114.90485726672	2	structural_hub	11.0	13.8492
Q13547	HDAC1	False	113	4.214667	0.891542	1101	55.3894	307	0.050308	6040	0.00203	396	331578.3179630179	2	structural_hub	10.2139	15.4957
P04637	TP53	False	115	4.212219	0.88773	2171	86.0957	549	0.039657	6203	0.00854	643	1391997.2963969293	2	structural_hub	9.5873	16.5868
Q96EE3	SEH1L	False	94	4.181645	0.920399	137	24.0319	55	0.175415	4094	6e-05	32	9055.88079585783	1	pathway_bridge	14.6993	2.6805
P49792	RANBP2	False	93	4.166432	0.919215	365	33.3118	135	0.091265	4011	0.0002	109	33319.21902088525	2	structural_hub	13.0714	6.7336
P52948	NUP98	False	92	4.15491	0.918864	222	30.9457	87	0.139395	3914	0.00022	59	36252.78809082669	2	structural_hub	13.0031	6.8356
P57740	NUP107	False	92	4.15491	0.918864	228	35.1196	91	0.154033	3914	5e-05	56	8537.519797091854	1	pathway_bridge	14.6782	2.655
Q12769	NUP160	False	92	4.15491	0.918864	189	26.1087	64	0.138141	3914	4e-05	52	6949.528248813898	1	pathway_bridge	14.6675	2.6015
Q8NFH3	NUP43	False	92	4.15491	0.918864	599	32.5217	115	0.054293	3914	0.00054	265	88102.53065710339	2	structural_hub	12.1737	10.6545
Q8NFH4	NUP37	False	92	4.15491	0.918864	72	15.1196	32	0.209994	3914	0.0	14	668.2377586510581	1	pathway_bridge	13.8114	1.2919
Q8WUM0	NUP133	False	92	4.15491	0.918864	196	27.2717	75	0.139142	3914	3e-05	40	5637.628734069162	1	pathway_bridge	14.6391	2.5796
Q9BW27	NUP85	False	92	4.15491	0.918864	143	20.5326	49	0.143585	3914	4e-05	43	6080.402609523595	1	pathway_bridge	14.653	2.5901
P09038	FGF2	False	87	4.148655	0.928961	46	3.2874	29	0.071464	3453	1e-05	6	1007.0322783279101	1	pathway_bridge	14.016	1.7983
P30154	PPP2R1B	False	119	4.146023	0.867528	160	12.0588	50	0.075368	6603	5e-05	60	8385.47741666901	1	pathway_bridge	14.5023	2.8505
P68366	TUBA4A	False	97	4.136192	0.904143	493	27.1649	122	0.055101	4406	0.00068	186	110412.64519442907	2	structural_hub	11.7883	11.9637
P29353	SHC1	False	94	4.12951	0.908924	329	20.2979	155	0.061696	4132	0.00024	92	39185.95057744446	2	structural_hub	12.8654	7.2078
P51668	UBE2D1	False	93	4.123128	0.909661	289	17.6989	141	0.061242	4024	0.0002	73	32367.637999807026	2	structural_hub	13.0421	6.6641
P60709	ACTB	False	108	4.113573	0.878568	981	41.2315	262	0.04203	5524	0.00193	353	314129.1748136676	2	structural_hub	10.2353	15.453
P68371	TUBB4B	False	96	4.109942	0.900444	555	42.0625	190	0.075788	4313	0.00032	148	52557.84863196462	2	structural_hub	12.6356	8.1418
P17612	PRKACA	False	110	4.103014	0.872892	397	20.7636	138	0.052301	5706	0.00046	108	74994.10442975945	2	structural_hub	12.2943	10.3537
P04350	TUBB4A	False	94	4.100387	0.902514	227	16.234	74	0.071516	4127	8e-05	63	13061.839451500375	1	pathway_bridge	14.4429	3.4182
Q71U36	TUBA1A	False	94	4.100387	0.902514	688	33.7447	163	0.049048	4127	0.00124	276	201391.16454283588	2	structural_hub	10.8903	14.0879
P31749	AKT1	False	109	4.094349	0.872745	663	38.7982	266	0.058519	5642	0.00112	164	182341.21253900407	2	structural_hub	10.9383	13.9721
