gene1	gene2	annotation	direction	score	ann_class	shared_pathways	pathway_type	n_pathways_g1	n_pathways_g2	local_degree_g1	local_degree_g2	mean_local_degree	ratio_g1	ratio_g2	global_degree_g1	global_degree_g2	betweenness_g1	betweenness_g2	taxonomy_g1	taxonomy_g2	mean_global_degree	mean_betweenness
ACTA1	ARPC1A	complex	-	1.0	complex	0	inter	14	24	13.643	14.917	14.28	0.047	0.1381	290	108	0.000168559618133475	3.310774861407828e-05	pathway_bridge	pathway_bridge	199.0	0.00010083368337377664
ACTA1	ARPC1B	complex	-	1.0	complex	0	inter	14	21	13.643	32.333	22.988	0.047	0.145	290	223	0.000168559618133475	9.909968074048928e-05	pathway_bridge	pathway_bridge	256.5	0.00013382964943698213
ACTA1	ARPC4	catalyzed by	<-	1.0	catalyze	0	inter	14	24	13.643	23.25	18.446	0.047	0.1192	290	195	0.000168559618133475	0.00016254762056373687	pathway_bridge	pathway_bridge	242.5	0.00016555361934860594
ACTA1	ARPC5	catalyzed by; complex	<-	1.0	catalyze	0	inter	14	25	13.643	16.96	15.301	0.047	0.1462	290	116	0.000168559618133475	1.4803983367689146e-05	pathway_bridge	pathway_bridge	203.0	9.168180075058207e-05
ACTA1	CAPZA1	predicted	-	0.91	predicted	0	inter	14	29	13.643	32.586	23.115	0.047	0.0871	290	374	0.000168559618133475	0.00011588883977579477	pathway_bridge	pathway_bridge	332.0	0.00014222422895463489
ACTA1	CAPZB	predicted	-	0.9	predicted	0	inter	14	28	13.643	86.571	50.107	0.047	0.0835	290	1037	0.000168559618133475	0.0007016510217741499	pathway_bridge	pathway_bridge	663.5	0.00043510531995381244
ACTA1	CDH23	complex; input	-	1.0	complex	0	inter	14	4	13.643	1.0	7.321	0.047	0.0149	290	67	0.000168559618133475	1.1240378474048257e-05	pathway_bridge	background	178.5	8.989999830376163e-05
ACTA1	CFL1	activated by	<-	1.0	activate	0	inter	14	25	13.643	28.24	20.941	0.047	0.0739	290	382	0.000168559618133475	0.0002846479160251538	pathway_bridge	pathway_bridge	336.0	0.0002266037670793144
ACTA1	CTCF	expression regulated by	<-	1.0	expression	0	inter	14	7	13.643	31.857	22.75	0.047	0.0751	290	424	0.000168559618133475	6.085423108640864e-05	pathway_bridge	pathway_bridge	357.0	0.00011470692460994182
ACTA1	CTNNA2	complex	-	1.0	complex	0	inter	14	2	13.643	7.0	10.321	0.047	0.1207	290	58	0.000168559618133475	6.131568870636854e-06	pathway_bridge	background	174.0	8.734559350205593e-05
ACTA1	DIAPH1	activated by	<-	1.0	activate	0	inter	14	20	13.643	19.8	16.721	0.047	0.1222	290	162	0.000168559618133475	3.8752208877907976e-05	pathway_bridge	pathway_bridge	226.0	0.00010365591350569148
ACTA1	EGR1	expression regulated by	<-	1.0	expression	0	inter	14	14	13.643	7.714	10.679	0.047	0.1429	290	54	0.000168559618133475	3.4504065873178867e-06	pathway_bridge	pathway_bridge	172.0	8.600501236039644e-05
ACTA1	EP300	expression regulated by	<-	1.0	expression	0	inter	14	143	13.643	58.664	36.154	0.047	0.0414	290	1417	0.000168559618133475	0.0025418965963947184	pathway_bridge	structural_hub	853.5	0.0013552281072640967
ACTA1	GSN	activated by	<-	1.0	activate	0	inter	14	13	13.643	13.077	13.36	0.047	0.0667	290	196	0.000168559618133475	8.921915707586127e-05	pathway_bridge	pathway_bridge	243.0	0.00012888938760466812
ACTA1	HIP1	complex; input	-	1.0	complex	0	inter	14	8	13.643	11.0	12.321	0.047	0.117	290	94	0.000168559618133475	3.777543136833338e-05	pathway_bridge	pathway_bridge	192.0	0.00010316752475090418
ACTA1	HSF1	predicted	-	0.89	predicted	0	inter	14	12	13.643	29.0	21.321	0.047	0.0487	290	595	0.000168559618133475	0.00027709631669285543	pathway_bridge	pathway_bridge	442.5	0.00022282796741316521
ACTA1	HTT	complex; input	-	1.0	complex	0	inter	14	5	13.643	39.6	26.621	0.047	0.1196	290	331	0.000168559618133475	0.00020272449962180266	pathway_bridge	background	310.5	0.00018564205887763884
ACTA1	MRTFA	complex	-	1.0	complex	0	inter	14	10	13.643	8.5	11.071	0.047	0.1518	290	56	0.000168559618133475	2.459637709338724e-06	pathway_bridge	pathway_bridge	173.0	8.550962792140686e-05
ACTA1	MYH10	complex; input	-	1.0	complex	0	inter	14	16	13.643	31.0	22.321	0.047	0.0824	290	376	0.000168559618133475	0.0002236187689726986	pathway_bridge	pathway_bridge	333.0	0.0001960891935530868
